review_time,positive_review,negative_review,problems_solved,rating,reviews,sentiment_score,positive_sentiment,negative_sentiment
2022-03-14,"The best thing is that we can search the candidates here within a specific region only based upon the job description. Also, the platform is very user-friendly and easy to use. It also provides the service of keeping your posting jobs at the top using the ads. The database for technical profiles is mind-blowing.Review collected by and hosted on G2.com.","There is some kind of bug or issue that is shown whenever we search for any candidate for any specific job profile. It shows the same resume with the same mail address and different candidate profiles. The technical team must take this into consent and solve this issue. Apart from that, I hadn't faced any issues to date.Review collected by and hosted on G2.com.","It is one of the beats platforms for all the technical recruiters. it is their first choice if we are hiring for the technical profiles in the IT field. It gives the most outstanding profile for IT jobs. The database is fantastic. The UI needs some improvement but it works well. Overall, the experience is quite good and impressive.Review collected by and hosted on G2.com.",4.0,"['best', 'thing', 'search', 'candidates', 'within', 'specific', 'region', 'based', 'upon', 'job', 'description', 'also', 'platform', 'easy', 'use', 'also', 'provides', 'service', 'keeping', 'posting', 'jobs', 'top', 'using', 'ads', 'database', 'technical', 'profiles', 'collected', 'hosted', 'kind', 'bug', 'issue', 'shown', 'whenever', 'search', 'candidate', 'specific', 'job', 'profile', 'shows', 'resume', 'mail', 'address', 'different', 'candidate', 'profiles', 'technical', 'team', 'must', 'take', 'consent', 'solve', 'issue', 'apart', 'faced', 'issues', 'collected', 'hosted']",0.20238095238095236,0.30476190476190473,0.09999999999999999
2022-03-01,Quality of the resumes and the search engine. It is one of the few portals that provide us the filter of filtering the candidates on basis of different types of clearances. All the way from the secret to TS/SCI FS poly.Review collected by and hosted on G2.com.,Not giving timely API integrations to different ATS. We find it quite difficult to get new api's integrated with our current ATS Ceipal. We raised this concern time and time again.Review collected by and hosted on G2.com.,Finding candidates in cleared as well as non cleared space. This does benefit a lot in that space and gives good and effective results. The boolean strings give very accurate results.Review collected by and hosted on G2.com.,4.5,"['quality', 'resumes', 'search', 'engine', 'one', 'portals', 'provide', 'us', 'filter', 'filtering', 'candidates', 'basis', 'different', 'types', 'clearances', 'way', 'secret', 'fs', 'collected', 'hosted', 'giving', 'timely', 'api', 'integrations', 'different', 'ats', 'find', 'quite', 'difficult', 'get', 'new', 'api', 'integrated', 'current', 'ats', 'ceipal', 'raised', 'concern', 'time', 'time', 'collected', 'hosted']",-0.14545454545454548,-0.20000000000000004,-0.09090909090909091
2022-11-09,It is beneficial for those proper searching jobReview collected by and hosted on G2.com.,"There  is no point in disliking, and i am happy with the serviceReview collected by and hosted on G2.com.",An international platform to find a professional jobReview collected by and hosted on G2.com.,5.0,"['beneficial', 'proper', 'searching', 'jobreview', 'collected', 'hosted', 'point', 'disliking', 'happy', 'servicereview', 'collected', 'hosted']",0.4,0.0,0.8
2022-03-02,"It is effortless to use and friendly software. The UI and UX are mind-blowing. The best thing here is that it removes out the candidates automatically who do not fit with the required position. Also, the boolean search algorithm is s effective because it gives very relevant results. It allows us to view the profiles of the candidates, which provide more information than the resume, and we can track the activities of the candidates from our dashboard. Overall, it is very productive and flexible. The dashboard is beautiful and keeps connected with its fantastic features.Review collected by and hosted on G2.com.","There must be some feature to adjust or customize the job postings and activities. Apart from that, I need some scheduling features for job postings for future dates and times. So that we can arrange them in a single day and focus on other works instead of posting jobs daily over the portal.Review collected by and hosted on G2.com.","As a recruiter, it is my primary job to connect with candidates and hire them for various profiles that I come across every day. Monster has helped me source and onboard the right candidate for the right shape. Here we can use the talent to meet up the right opportunity. It is very beneficial fr the technical profiels. I am happy about the experience I have had in the last some years with Monster.Review collected by and hosted on G2.com.",4.5,"['effortless', 'use', 'friendly', 'software', 'ui', 'ux', 'best', 'thing', 'removes', 'candidates', 'automatically', 'fit', 'required', 'position', 'also', 'boolean', 'search', 'algorithm', 'effective', 'gives', 'relevant', 'results', 'allows', 'us', 'view', 'profiles', 'candidates', 'provide', 'information', 'resume', 'track', 'activities', 'candidates', 'dashboard', 'overall', 'productive', 'flexible', 'dashboard', 'beautiful', 'keeps', 'connected', 'fantastic', 'collected', 'hosted', 'must', 'feature', 'adjust', 'customize', 'job', 'postings', 'activities', 'apart', 'need', 'scheduling', 'features', 'job', 'postings', 'future', 'dates', 'times', 'arrange', 'single', 'day', 'focus', 'works', 'instead', 'posting', 'jobs', 'daily', 'collected', 'hosted']",0.18769642857142857,0.4245,-0.049107142857142856
2022-08-19,"Job search, filters, relevancy, job titlesReview collected by and hosted on G2.com.",Lots and lots of fake profiles remove themReview collected by and hosted on G2.com.,Bringing easy to use UI and integration of new features.Review collected by and hosted on G2.com.,5.0,"['job', 'search', 'filters', 'relevancy', 'job', 'titlesreview', 'collected', 'hosted', 'lots', 'lots', 'fake', 'profiles', 'remove', 'themreview', 'collected', 'hosted']",-0.25,0.0,-0.5
2022-02-15,Using monster reduce our working time and energy.,We will get lof of job applications for a single job post. It made my work easy and it's very less cost.,We can filter while sourcing in the search engine.. So them we can get best suitable candidatesReview collected by and hosted on G2.com.,4.0,"['using', 'monster', 'reduce', 'working', 'time', 'energy', 'get', 'lof', 'job', 'applications', 'single', 'job', 'post', 'made', 'work', 'easy', 'less', 'cost']",0.024206349206349214,0.0,0.04841269841269843
2022-02-06,"Here we can track the status of the candidates in real-time. It has a user-friendly interface. It provides many filters to source the profiles as per the job requirement. We can fill a detailed description like skills, work experience, education, location, etc. It accepts the abstracts in the boolean strings and keys. It has many good options like Power search, which finds resumes with extensive filters and strings.Review collected by and hosted on G2.com.","Whenever we log in from more than one system, it creates issues and problems during sourcing the candidates. It does not give the exact results according to the search. Also, the resume views are limited, and it asks for credits for more resume views. Also, there must be some feature to fetch the data directly from the candidates they provided over the portal and fill it up in their resumes.Review collected by and hosted on G2.com.","It is a potent tool when we look to hire for technical roles. Monster is our primary portal to post jobs, source candidates, and search resumes. It gives us a good talent pool for closing most of our technical job openings. The database is mind-blowing and is updated every next day with good results. It has given us an extreme experience of working over it. Overall, it is a fantastic tool for recruiters and job seekers.Review collected by and hosted on G2.com.",4.5,"['track', 'status', 'candidates', 'interface', 'provides', 'many', 'filters', 'source', 'profiles', 'per', 'job', 'requirement', 'fill', 'detailed', 'description', 'like', 'skills', 'work', 'experience', 'education', 'location', 'etc', 'accepts', 'abstracts', 'boolean', 'strings', 'keys', 'many', 'good', 'options', 'like', 'power', 'search', 'finds', 'resumes', 'extensive', 'filters', 'collected', 'hosted', 'whenever', 'log', 'one', 'system', 'creates', 'issues', 'problems', 'sourcing', 'candidates', 'give', 'exact', 'results', 'according', 'search', 'also', 'resume', 'views', 'limited', 'asks', 'credits', 'resume', 'views', 'also', 'must', 'feature', 'fetch', 'data', 'directly', 'candidates', 'provided', 'portal', 'fill', 'collected', 'hosted']",0.33785714285714286,0.41999999999999993,0.2557142857142857
2022-11-18,I like the recommendations for jobs in specific job  categoriesReview collected by and hosted on G2.com.,I hate scammer company that take advantage to newbieReview collected by and hosted on G2.com.,I think the problem is not being safe at sometimes to this platform yet It's very much useful in search jobs. I never being hired using this platformReview collected by and hosted on G2.com.,2.5,"['like', 'recommendations', 'jobs', 'specific', 'job', 'categoriesreview', 'collected', 'hosted', 'hate', 'scammer', 'company', 'take', 'advantage', 'newbiereview', 'collected', 'hosted']",-0.4,0.0,-0.8
2022-01-11,Monster has been proven really successful in filling the low-end or junior hiring positions. It has a good number of freshers and recent grads. Monster has many filters which help the platform to outstand in the market. It gives the liberty to the employer to apply as a strict search string as he wants and gets the best candidates according to the position needs.Review collected by and hosted on G2.com.,"The relevance level of the resume is not up to the mark. Sometimes, it picks up some keywords and searches the profiles according to that. Moreover, it rates the resume showing according to relevance to the search string added, which hardly makes any sense. I have seen various instances saying it is 83% match, whereas the profile was not even of the same background I was looking for. It also has the option of power search which picks the keywords and gets the best results.Review collected by and hosted on G2.com.","Job posting and auto-forwarding are some of the main game changers of Monster. I and my team has been using it extensively for bulk-hiring roles. Monster Postings save a lot of time and help in getting the best suitable candidates from the market. It also has the features of setting the level of experience which helps a lot in targeting the right audience. The dashboard needs to be made much simpler as other competitive platforms are providing. The power search option is there, but it has to be open differently which is time-consuming.Review collected by and hosted on G2.com.",3.5,"['monster', 'proven', 'really', 'successful', 'filling', 'junior', 'hiring', 'positions', 'good', 'number', 'freshers', 'recent', 'grads', 'monster', 'many', 'filters', 'help', 'platform', 'outstand', 'market', 'gives', 'liberty', 'employer', 'apply', 'strict', 'search', 'string', 'wants', 'gets', 'best', 'candidates', 'according', 'position', 'collected', 'hosted', 'relevance', 'level', 'resume', 'mark', 'sometimes', 'picks', 'keywords', 'searches', 'profiles', 'according', 'moreover', 'rates', 'resume', 'showing', 'according', 'relevance', 'search', 'string', 'added', 'hardly', 'makes', 'sense', 'seen', 'various', 'instances', 'saying', 'match', 'whereas', 'profile', 'even', 'background', 'looking', 'also', 'option', 'power', 'search', 'picks', 'keywords', 'gets', 'best', 'collected', 'hosted']",0.3510416666666667,0.525,0.17708333333333331
2022-03-04,"It has a user-friendly interface and is easy to use. It provides various filters to source the right resumes. We can source candidates based on skills, qualifications, and location. The job posting is very efficient and has various filter questions to make sure only relevant candidates apply to the job posting.Review collected by and hosted on G2.com.",There are a lot of resumes with the same email address. It has a wide database for technical or software candidates than non-technical candidates. It is an expensive but effective tool.Review collected by and hosted on G2.com.,It has a very logical layout of the website. It allows me to view candidate profiles so I can manage the views of ROI. It is quite fast and provides flexible services for various needs.Review collected by and hosted on G2.com.,4.5,"['interface', 'easy', 'use', 'provides', 'various', 'filters', 'source', 'right', 'resumes', 'source', 'candidates', 'based', 'skills', 'qualifications', 'location', 'job', 'posting', 'efficient', 'various', 'filter', 'questions', 'make', 'sure', 'relevant', 'candidates', 'apply', 'job', 'collected', 'hosted', 'lot', 'resumes', 'email', 'address', 'wide', 'database', 'technical', 'software', 'candidates', 'candidates', 'expensive', 'effective', 'collected', 'hosted']",0.1136904761904762,0.2273809523809524,0.0
2022-02-11,"Monster has two types of searches Classic Search and Power Search; classic search can be done by giving Boolean String, whereas power search can get candidates simple by providing the Title and required skills.Review collected by and hosted on G2.com.","Nothing much to dislike about the monster; this platform is good for freshers who are coming with Zero knowledge also can source profiles quickly. With monster, we can filter the Companies' names, mullite Locations, and working experience.Review collected by and hosted on G2.com.","Customer support is available 24*7; the response is also rapid. The user interface is getting better day by day with monster version updates; with monster usage, we will have some perfect matching profiles and the best filter. No other job boards have these filters.Review collected by and hosted on G2.com.",5.0,"['monster', 'two', 'types', 'searches', 'classic', 'search', 'power', 'search', 'classic', 'search', 'done', 'giving', 'boolean', 'string', 'whereas', 'power', 'search', 'get', 'candidates', 'simple', 'providing', 'title', 'required', 'collected', 'hosted', 'nothing', 'much', 'dislike', 'monster', 'platform', 'good', 'freshers', 'coming', 'zero', 'knowledge', 'also', 'source', 'profiles', 'quickly', 'monster', 'filter', 'companies', 'names', 'mullite', 'locations', 'working', 'collected', 'hosted']",0.26111111111111107,0.1111111111111111,0.41111111111111104
2022-03-18,The best thing about Monster is the Power Search feature of Mosnter where you can search relevant resumes using just the job title and likely to switch optionReview collected by and hosted on G2.com.,Sometimes it shows irrelevant candidate which wastes a click of the userReview collected by and hosted on G2.com.,Posting of Job descriptionReview collected by and hosted on G2.com.,4.0,"['best', 'thing', 'monster', 'power', 'search', 'feature', 'mosnter', 'search', 'relevant', 'resumes', 'using', 'job', 'title', 'likely', 'switch', 'optionreview', 'collected', 'hosted', 'sometimes', 'shows', 'irrelevant', 'candidate', 'wastes', 'click', 'userreview', 'collected', 'hosted']",0.05833333333333332,0.4666666666666666,-0.35
2021-12-08,"I love that you can view entire resumes instead of just profiles, I do also like that you can create a pipeline and an email campaign, also integrated it with our ATS so it creates profiles and inputs resumes without having to save and do it manually.Review collected by and hosted on G2.com.","I do like how sometimes it shows profiles and resumes of candidates not in the country, it could do a better job at screening locations by checking out companies candidates worked for.Review collected by and hosted on G2.com.",Well it is streamlining our recruitment because we are able to view resumes not just profiles before contacting to see years of experience with a certain search string aka Java.Review collected by and hosted on G2.com.,3.5,"['love', 'view', 'entire', 'resumes', 'instead', 'profiles', 'also', 'like', 'create', 'pipeline', 'email', 'campaign', 'also', 'integrated', 'ats', 'creates', 'profiles', 'inputs', 'resumes', 'without', 'save', 'collected', 'hosted', 'like', 'sometimes', 'shows', 'profiles', 'resumes', 'candidates', 'country', 'could', 'better', 'job', 'screening', 'locations', 'checking', 'companies', 'candidates', 'worked', 'collected', 'hosted']",0.375,0.25,0.5
2021-11-01,> The UI of Monster is simple and sober,"> This is a very sophisticated website for finding jobs. I can search for a job title with location; this website also shows options like Part-time, Work from home when seeing the job.","> I can search against specific job positions and the salary/pay range offered against those positions. This gives me know how, as what should be the minimum pay for that position in my country.Review collected by and hosted on G2.com.",4.0,"['ui', 'monster', 'simple', 'sober', 'sophisticated', 'website', 'finding', 'jobs', 'search', 'job', 'title', 'location', 'website', 'also', 'shows', 'options', 'like', 'work', 'home', 'seeing', 'job']",0.35000000000000003,0.05,0.65
2022-03-15,Candidates are easily searchable with their skills and locationsReview collected by and hosted on G2.com.,Its like nothing just i dislike is the credits given for useReview collected by and hosted on G2.com.,searching of candidates from IT backgroundReview collected by and hosted on G2.com.,5.0,"['candidates', 'easily', 'searchable', 'skills', 'locationsreview', 'collected', 'hosted', 'like', 'nothing', 'dislike', 'credits', 'given', 'usereview', 'collected', 'hosted']",0.21666666666666667,0.43333333333333335,0.0
2021-12-25,It's easy to use. It allows you to advertise profiles for jobs. It is 100% a secure place to update your profile and search for candidates.Review collected by and hosted on G2.com.,Sometimes it won't show relevant searches and application gets stuck.Review collected by and hosted on G2.com.,Easy and friendly app to search and apply for jobs . It saves time and most importantly you can do this just by staying at the comfort of your home.Review collected by and hosted on G2.com.,4.0,"['easy', 'use', 'allows', 'advertise', 'profiles', 'jobs', 'secure', 'place', 'update', 'profile', 'search', 'collected', 'hosted', 'sometimes', 'wo', 'show', 'relevant', 'searches', 'application', 'gets', 'collected', 'hosted']",0.4083333333333333,0.4166666666666667,0.4
2021-08-18,"Most helpful has been the find candidates option. Through this option, I have been able to search for suitable candidates for my open positions. You have several options, including key words, location, and you can even search candidates based on their willingness to travel or citizenship status.Review collected by and hosted on G2.com.","job postings expire too quickly, and the amount of jobs provided could be moreReview collected by and hosted on G2.com.","Have been able to get suitable candidates for my open positions, which has helped me to close on positions and make placements in my company. Its very beneficial that you can download the resumes rather quickly.Review collected by and hosted on G2.com.",5.0,"['helpful', 'find', 'candidates', 'option', 'option', 'able', 'search', 'suitable', 'candidates', 'open', 'positions', 'several', 'options', 'including', 'key', 'words', 'location', 'even', 'search', 'candidates', 'based', 'willingness', 'travel', 'citizenship', 'collected', 'hosted', 'job', 'postings', 'expire', 'quickly', 'amount', 'jobs', 'provided', 'could', 'morereview', 'collected', 'hosted']",0.29583333333333334,0.25833333333333336,0.3333333333333333
2022-03-22,Very easy for using and searching candidatesReview collected by and hosted on G2.com.,Non relevent candidates are also shown in a stringReview collected by and hosted on G2.com.,Searching of candidate and there relevancyReview collected by and hosted on G2.com.,5.0,"['easy', 'using', 'searching', 'candidatesreview', 'collected', 'hosted', 'non', 'relevent', 'candidates', 'also', 'shown', 'stringreview', 'collected', 'hosted']",0.2816666666666667,0.5633333333333334,0.0
2021-12-23,"It is the best search engine and helps in exaggerating search, making it even simpler for finding candidates.Review collected by and hosted on G2.com.",Sometimes it shows irrelevant profiles and takes a lot of time to load the data.Review collected by and hosted on G2.com.,It makes my job even more accessible. It allows customizing job postings. It solves my daily task of finding candidates for the requirements and makes it hurdle-free.Review collected by and hosted on G2.com.,4.0,"['best', 'search', 'engine', 'helps', 'exaggerating', 'search', 'making', 'even', 'simpler', 'finding', 'collected', 'hosted', 'sometimes', 'shows', 'irrelevant', 'profiles', 'takes', 'lot', 'time', 'load', 'collected', 'hosted']",0.25,1.0,-0.5
2021-09-07,"Monster is utilized in most locations and plays a significant part in the job market. It is one of the most excellent tools in the United States, Asia Pacific, and India, assisting both to meet their requirements. You can look for individuals who updated their resumes within the last week to a year. It also has some unique features, such as matching talents to appropriate terms. I have access to other employment boards as well, but this one is the finest. I would want to use it in the future for my recruitment needs.Review collected by and hosted on G2.com.","One thing I don't like about it is that if I'm looking for a consultant for a client's need, I'll get the same resume many times with the same name and email address, but the location will be different. Duplicate resumes, fake emails and numbers are some of the other things I despise about Monster. It would help if you guys improved on determining the difference between a real and a fraudulent CV.Review collected by and hosted on G2.com.","Monster tackles the problem of finding the top applicants in one location; you don't need to visit every single job board if you have this one. For the most part, you'll have little trouble finding applicants. Almost everyone seeking work creates a Monster profile to make it simpler to locate qualified candidates. It assists me in locating the resumes of the best prospects on the market.Review collected by and hosted on G2.com.",4.5,"['monster', 'utilized', 'locations', 'plays', 'significant', 'part', 'job', 'market', 'one', 'excellent', 'tools', 'united', 'states', 'asia', 'pacific', 'india', 'assisting', 'meet', 'requirements', 'look', 'individuals', 'updated', 'resumes', 'within', 'last', 'week', 'year', 'also', 'unique', 'features', 'matching', 'talents', 'appropriate', 'terms', 'access', 'employment', 'boards', 'well', 'one', 'finest', 'would', 'want', 'use', 'future', 'recruitment', 'collected', 'hosted', 'one', 'thing', 'like', 'looking', 'consultant', 'client', 'need', 'get', 'resume', 'many', 'times', 'name', 'email', 'address', 'location', 'different', 'duplicate', 'resumes', 'fake', 'emails', 'numbers', 'things', 'despise', 'monster', 'would', 'help', 'guys', 'improved', 'determining', 'difference', 'real', 'fraudulent', 'collected', 'hosted']",0.16160714285714287,0.3125,0.010714285714285716
2022-01-12,"For me, It is an extensive database of candidates, and it offers a wide variety of filters. Helping recruiters look for candidates, as well as candidates to look for jobs.Review collected by and hosted on G2.com.",Sometimes filters are not specific enough or aren't that inclusive. It is a little difficult to keep track of resumes you already saw and get back to were you were at with your last search.Review collected by and hosted on G2.com.,"I have been able to recruit a wide variety of candidates from this software, and it is an excellent tool to find jobs because it allows people to sort it out according to their needs.Review collected by and hosted on G2.com.",4.0,"['extensive', 'database', 'candidates', 'offers', 'wide', 'variety', 'filters', 'helping', 'recruiters', 'look', 'candidates', 'well', 'candidates', 'look', 'collected', 'hosted', 'sometimes', 'filters', 'specific', 'enough', 'inclusive', 'little', 'difficult', 'keep', 'track', 'resumes', 'already', 'saw', 'get', 'back', 'last', 'collected', 'hosted']",-0.057291666666666664,0.0,-0.11458333333333333
2021-12-21,I like how you can search for jobs tailored specifically towards your skillset and criteria. I can get job leads sent to me daily through my inbox.Review collected by and hosted on G2.com.,The user interface is a bit lacking in terms of UI and would like to to have more look and feelReview collected by and hosted on G2.com.,Finding good quality job leadsReview collected by and hosted on G2.com.,4.0,"['like', 'search', 'jobs', 'tailored', 'specifically', 'towards', 'skillset', 'criteria', 'get', 'job', 'leads', 'sent', 'daily', 'collected', 'hosted', 'user', 'interface', 'bit', 'lacking', 'terms', 'ui', 'would', 'like', 'look', 'feelreview', 'collected', 'hosted']",0.25,0.0,0.5
2021-12-14,The best part about Monster is thay it shows the keywords match how relevant is the resume before opening itReview collected by and hosted on G2.com.,It does not show the filter of years of experience required for the roleReview collected by and hosted on G2.com.,The problems I am solvinh it is sourcing reevant profiles effecttiveluReview collected by and hosted on G2.com.,3.5,"['best', 'part', 'monster', 'thay', 'shows', 'keywords', 'match', 'relevant', 'resume', 'opening', 'itreview', 'collected', 'hosted', 'show', 'filter', 'years', 'experience', 'required', 'rolereview', 'collected', 'hosted']",0.35,0.7,0.0
2022-03-10,The best thing about monster is their user interface. It's easy to be used and accessibleReview collected by and hosted on G2.com.,Less filters. Sometimes It becomes difficult to get the perfect candidate de to less filtersReview collected by and hosted on G2.com.,"Hiring, Recruitment, sourcing, Job Description checkingReview collected by and hosted on G2.com.",4.0,"['best', 'thing', 'monster', 'user', 'interface', 'easy', 'used', 'accessiblereview', 'collected', 'hosted', 'less', 'filters', 'sometimes', 'becomes', 'difficult', 'get', 'perfect', 'candidate', 'de', 'less', 'filtersreview', 'collected', 'hosted']",0.37916666666666665,0.7166666666666667,0.04166666666666668
2021-08-31,"Usually, my last resource if I can't find anything on other job boards and usually they will have individualsReview collected by and hosted on G2.com.","Seems like none of the candidates get back to you, they always have old resumes and not active candidates, I don't prefer the searching settings you can't even edit the boolean from that page when you are sourcing, just not my favorite job boardReview collected by and hosted on G2.com.",Finding candidates with sourcing and qualifying for jobsReview collected by and hosted on G2.com.,4.0,"['usually', 'last', 'resource', 'ca', 'find', 'anything', 'job', 'boards', 'usually', 'individualsreview', 'collected', 'hosted', 'seems', 'like', 'none', 'candidates', 'get', 'back', 'always', 'old', 'resumes', 'active', 'candidates', 'prefer', 'searching', 'settings', 'ca', 'even', 'edit', 'boolean', 'page', 'sourcing', 'favorite', 'job', 'boardreview', 'collected', 'hosted']",0.020833333333333343,-0.125,0.16666666666666669
2021-11-23,A large database of good candidates across multiple skills & domains.Review collected by and hosted on G2.com.,"Not much to say regarding what I dislike. The reality is it is no longer the go-to tool for our recruiters as it used to be due to the emergence of LinkedIn, but still very valuable.Review collected by and hosted on G2.com.",It allows us to find immediately available candidates for our open jobs.Review collected by and hosted on G2.com.,4.0,"['large', 'database', 'good', 'candidates', 'across', 'multiple', 'skills', 'collected', 'hosted', 'much', 'say', 'regarding', 'dislike', 'reality', 'longer', 'tool', 'recruiters', 'used', 'due', 'emergence', 'linkedin', 'still', 'collected', 'hosted']",0.1482142857142857,0.30476190476190473,-0.008333333333333331
2021-09-16,I was able to find a lot of job opportunities that suit me. It also helped in gaining market trends and insights.Review collected by and hosted on G2.com.,The number of notifications can sometimes be disturbing.Review collected by and hosted on G2.com.,Wider job opportunities to find your dream job!Review collected by and hosted on G2.com.,4.0,"['able', 'find', 'lot', 'job', 'opportunities', 'suit', 'also', 'helped', 'gaining', 'market', 'trends', 'collected', 'hosted', 'number', 'notifications', 'sometimes', 'collected', 'hosted']",0.25,0.5,0.0
